cod_provin,provincia,cod_canton,canton,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020,03/07/2020,04/07/2020,05/07/2020,06/07/2020,07/07/2020,08/07/2020,09/07/2020
2,Alajuela,210,San Carlos,24,22,22,22,21,20,20,18,17,16,16,18,12,12,10,10,7,5,4,4,3,3,2,2,1,1,1,1,2,2,2,2,2,3,4,4,6,6,11,14,14,21,25,29,38,40,43,70,77,84,116,121,126,133,154,157,165,171,161,160,161,168,175,153,136,132,119,117,108,111,110,91,93,106,100,103,103,112,94,98
2,Alajuela,204,San Mateo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2,Alajuela,202,San Ramón,10,10,10,10,10,10,9,9,9,10,10,10,11,11,11,11,11,11,11,12,12,12,11,11,11,11,11,11,11,11,12,12,12,11,12,12,20,24,26,36,35,35,35,40,44,45,47,52,51,51,61,90,104,107,109,110,110,109,109,110,111,111,112,79,79,79,81,81,77,74,76,56,22,33,38,43,46,49,52,55
2,Alajuela,212,Sarchí,5,5,5,5,5,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,7,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,44,1,1,1,2
2,Alajuela,213,Upala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,8,9,8,14,21,23,26,27,40,43,45,44,44,44,45,49,50,54,47,43,32,34,47,42,42,42,49,45,46,48,50,1,61,59,55,49
2,Alajuela,211,Zarcero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,4,5,7,7,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,7,7,7,8,8,6,8,7,7,6,6,6,6
3,Cartago,306,Alvarado,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
3,Cartago,301,Cartago,11,11,10,10,10,10,10,9,9,9,9,10,11,10,10,9,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,4,3,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,8,8,9,8,8,8,6,4,6,6,6,7,5,6,9,9,11,13,14,15,15,19,20,24,25,28,28,32,37
3,Cartago,308,El Guarco,3,3,3,3,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,3,3,4,4,4,5,6,6,6,8,8,9,10,10,10,11,15
3,Cartago,304,Jiménez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3,4,4,6,6,6,6,6,6,6,6,5,5,5,5,5,0
3,Cartago,303,La Unión,14,12,12,12,16,16,15,13,12,13,13,14,14,14,14,14,13,13,12,11,11,11,11,11,12,12,10,10,10,10,11,10,10,10,11,11,11,11,11,11,10,8,9,9,9,8,9,9,9,9,12,12,11,11,11,11,12,11,13,14,16,18,18,20,20,21,21,23,26,35,40,46,54,57,57,61,64,68,60,83
